eid,doi,title,authors,year,journal,citations,abstract,keywords,scopus_link,query_tier,search_query,relevance_score
2-s2.0-85137571822,10.1001/jamahealthforum.2021.4543,Factors Associated with Overuse of Health Care Within US Health Systems: A Cross-sectional Analysis of Medicare Beneficiaries from 2016 to 2018,Segal J.B.,2022,JAMA Health Forum,27,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137571822&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""AHRQ Compendium"" AND ""health system*"")",12.5
2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,Khuntia J.,2022,Jmir Formative Research,18,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130609614&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality Compendium"")",12.3
2-s2.0-85115867159,10.1001/jamainternmed.2021.5531,Low-Value Care at the Actionable Level of Individual Health Systems,Ganguli I.,2021,JAMA Internal Medicine,49,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115867159&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality Compendium"")",12.0
2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,Khuntia J.,2022,Jmir Formative Research,6,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133526512&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""AHRQ Compendium"" AND ""health system*"")",11.1
2-s2.0-85217569562,10.1001/jamasurg.2024.5920,Esophagectomy Trends and Postoperative Outcomes at Private Equity-Acquired Health Centers,Williams J.E.,2025,JAMA Surgery,1,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217569562&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality Compendium"")",11.1
2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,Khuntia J.,2022,Jmir Formative Research,3,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128121072&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""AHRQ Compendium"" AND ""health system*"")",10.8
2-s2.0-85099565948,10.1007/s11606-020-06485-8,The Missed Opportunity of Primary Care Providers’ Online Biographies: a Content Analysis of US Health Systems in 2020,Perrault E.K.,2021,Journal of General Internal Medicine,2,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099565948&origin=inward,tier_1_direct,"TITLE-ABS-KEY(""AHRQ Compendium of US Health Systems"")",10.2
,,,,,,0,,,,tier_1_direct,"TITLE-ABS-KEY(""AHRQ Compendium of U.S. Health Systems"")",10.0
2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,Torres J.S.,2024,Journal of Healthcare Management,1,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203420319&origin=inward,tier_2_proximity,"TITLE-ABS-KEY(""Agency for Healthcare Research and Quality"" w/10 Compendium)",9.1
2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Upadhyay S.,2024,Health Services Insights,0,,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211931135&origin=inward,tier_2_proximity,TITLE-ABS-KEY(AHRQ w/5 Compendium),9.0
